fecha,defunciones_corregidas,tavg,tmin,tmax
2015-01-01,148.74,5.9,-1.0,10.4
2015-01-02,159.11,7.6,-1.0,12.0
2015-01-03,161.42,7.7,1.2,11.4
2015-01-04,140.67,10.1,1.4,14.0
2015-01-05,181.02,7.7,1.5,12.0
2015-01-06,167.19,5.7,0.8,9.8
2015-01-07,198.32,6.9,0.8,10.7
2015-01-08,162.57,8.2,0.4,12.3
2015-01-09,169.49,9.7,2.0,13.5
2015-01-10,168.34,8.2,1.7,12.6
2015-01-11,172.95,8.5,2.4,13.7
2015-01-12,172.95,9.0,3.6,11.8
2015-01-13,172.95,8.2,2.4,12.4
2015-01-14,200.62,5.4,2.4,8.2
2015-01-15,184.48,7.6,5.0,10.8
2015-01-16,174.1,5.9,2.6,8.0
2015-01-17,179.87,4.6,-1.1,8.5
2015-01-18,161.42,2.1,0.3,3.5
2015-01-19,170.64,5.6,0.6,7.2
2015-01-20,185.63,3.9,0.2,6.5
2015-01-21,207.54,3.6,0.8,5.6
2015-01-22,198.32,5.0,1.8,8.4
2015-01-23,167.19,5.9,0.4,9.8
2015-01-24,154.5,5.2,-1.4,10.7
2015-01-25,155.66,8.9,1.8,12.6
2015-01-26,183.33,8.4,0.5,12.9
2015-01-27,201.78,9.6,2.0,13.3
2015-01-28,207.54,8.9,1.3,12.8
2015-01-29,184.48,9.3,3.9,12.2
2015-01-30,176.41,11.7,9.6,15.4
2015-01-31,196.01,6.7,3.4,10.8
2015-02-01,185.63,5.2,1.8,8.0
2015-02-02,170.64,3.8,3.2,5.1
2015-02-03,204.08,6.6,2.0,9.6
2015-02-04,187.94,2.2,0.4,5.1
2015-02-05,192.55,3.6,0.6,5.6
2015-02-06,167.19,3.3,-0.4,5.7
2015-02-07,154.5,1.3,-1.0,3.4
2015-02-08,184.48,4.7,-1.7,8.5
2015-02-09,176.41,5.9,0.6,10.4
2015-02-10,197.16,6.7,2.8,9.0
2015-02-11,190.25,6.7,4.5,8.6
2015-02-12,194.86,8.7,4.2,11.6
2015-02-13,145.28,7.9,2.7,12.2
2015-02-14,178.72,9.3,6.7,12.3
2015-02-15,147.58,10.9,6.7,14.8
2015-02-16,181.02,10.4,6.0,13.1
2015-02-17,163.73,9.0,4.4,11.8
2015-02-18,132.6,7.7,3.7,10.8
2015-02-19,153.35,8.1,2.6,12.6
2015-02-20,160.27,7.8,2.1,11.3
2015-02-21,179.87,9.9,5.0,13.0
2015-02-22,122.22,9.6,2.2,13.8
2015-02-23,163.73,10.7,6.6,13.7
2015-02-24,145.28,7.9,4.2,11.5
2015-02-25,154.5,10.1,4.1,14.3
2015-02-26,151.04,11.1,6.6,13.4
2015-02-27,160.27,12.1,7.4,14.3
2015-02-28,152.2,11.4,3.8,16.4
2015-03-01,136.05,14.9,9.6,18.7
2015-03-02,147.58,12.8,8.1,18.1
2015-03-03,140.67,12.9,9.1,17.2
2015-03-04,134.9,12.4,5.0,15.2
2015-03-05,123.37,10.0,2.3,14.5
2015-03-06,123.37,12.6,4.6,18.3
2015-03-07,131.44,15.2,5.0,21.6
2015-03-08,132.6,16.8,6.1,22.2
2015-03-09,131.44,15.8,6.0,21.7
2015-03-10,164.88,16.6,8.2,22.6
2015-03-11,132.6,16.1,6.2,22.4
2015-03-12,129.14,16.1,8.0,21.5
2015-03-13,125.68,14.2,8.6,18.0
2015-03-14,134.9,10.1,4.4,13.7
2015-03-15,125.68,6.6,2.4,9.3
2015-03-16,124.52,8.4,1.2,12.5
2015-03-17,138.36,9.7,4.8,13.6
2015-03-18,117.61,6.4,3.2,9.1
2015-03-19,117.61,9.5,5.8,11.9
2015-03-20,130.29,10.5,8.2,13.1
2015-03-21,130.29,9.0,6.8,11.6
2015-03-22,123.37,9.8,7.7,12.5
2015-03-23,145.28,7.1,6.0,8.5
2015-03-24,142.97,10.8,6.1,14.0
2015-03-25,114.15,7.6,3.5,10.3
2015-03-26,142.97,10.0,2.5,14.7
2015-03-27,140.67,16.8,8.6,20.5
2015-03-28,124.52,18.3,8.6,25.0
2015-03-29,125.68,18.1,11.1,23.0
2015-03-30,132.6,20.4,13.0,26.7
2015-03-31,149.89,21.6,12.0,26.6
2015-04-01,118.76,17.6,9.8,22.3
2015-04-02,119.91,17.3,7.7,23.6
2015-04-03,146.43,19.0,12.3,24.0
2015-04-04,110.69,17.3,9.8,22.0
2015-04-05,132.6,17.9,9.0,23.7
2015-04-06,147.58,15.4,9.6,21.2
2015-04-07,115.3,13.1,8.2,18.3
2015-04-08,124.52,13.0,6.7,18.0
2015-04-09,130.29,7.7,6.1,10.8
2015-04-10,133.75,12.9,8.5,16.6
